stt,ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
56,0.1005,0.1328,0.1156,0.0855,0.3235,0.4428,0.1338,0.9218,0.0513,1
57,0.052,0.2005,0.372,0.074,0.3118,0.5731,0.1724,0.7495,0.033,0
58,0.0868,0.1611,0.408,0.0538,0.3055,0.4993,0.1597,0.7591,0.0388,1
59,0.0606,0.1491,0.236,0.0654,0.3027,0.3933,0.1762,0.5422,0.0427,0
60,0.0745,0.1508,0.0417,0.1057,0.4765,0.3556,0.1535,0.7476,0.0275,1
61,0.0709,0.2064,0.1384,0.0809,0.3213,0.37,0.149,0.6667,0.0566,1
62,0.0745,0.193,0.3225,0.0609,0.3371,0.5728,0.1806,0.574,0.0437,1
63,0.0578,0.1697,0.1471,0.0726,0.3593,0.5357,0.1177,0.673,0.0516,0
64,0.0372,0.2489,0.2359,0.0768,0.3516,0.4275,0.2039,0.386,0.0272,0
65,0.0738,0.1483,0.1442,0.0908,0.348,0.3166,0.1349,0.5886,0.0534,0
66,0.0646,0.1767,0.2447,0.0576,0.3148,0.4776,0.1625,0.5773,0.0229,0
67,0.0832,0.2144,0.2202,0.0806,0.3569,0.3633,0.1844,1.0034,0.0463,0
68,0.102,0.1908,0.0892,0.049,0.3065,0.3314,0.1853,0.6855,0.0396,0
69,0.0501,0.1605,0.2722,0.1154,0.29,0.3033,0.1657,0.707,0.0367,0
70,0.0497,0.2209,0.218,0.0625,0.3116,0.3864,0.1804,0.5391,0.0342,0
71,0.0591,0.1753,0.1204,0.0837,0.3479,0.381,0.1253,0.6519,0.0402,1
72,0.08,0.1865,0.1501,0.077,0.3557,0.5616,0.1015,0.67,0.0314,0
73,0.0987,0.1144,0.2791,0.0866,0.3401,0.4905,0.0852,0.6483,0.0365,0
74,0.0726,0.1891,0.2139,0.0658,0.3566,0.3903,0.1439,0.8108,0.0438,0
75,0.0323,0.1208,0.1369,0.0684,0.3282,0.2614,0.1841,0.5485,0.0328,0
76,0.0832,0.2073,0.2805,0.0883,0.2978,0.3587,0.1871,0.6091,0.0405,1
77,0.1032,0.2173,0.1068,0.0345,0.3978,0.4922,0.1281,0.7228,0.0341,0
78,0.0567,0.1997,0.0954,0.0881,0.3435,0.3781,0.2178,0.8049,0.0191,0
79,0.0471,0.2093,0.2007,0.0659,0.302,0.3542,0.1402,0.8965,0.0392,0
80,0.0577,0.2001,0.2784,0.0713,0.3186,0.414,0.1555,0.6252,0.0308,0
81,0.0341,0.2074,0.4907,0.0567,0.302,0.3515,0.1599,0.8664,0.0372,0
82,0.0663,0.1925,0.3627,0.0497,0.2775,0.3205,0.1479,0.8098,0.0335,1
83,0.0688,0.1636,0.4459,0.0274,0.2192,0.5541,0.1652,0.6753,0.0569,1
84,0.0737,0.2145,0.2563,0.0443,0.3358,0.4699,0.1251,0.628,0.0256,0
85,0.073,0.1777,0.2344,0.0911,0.3263,0.4785,0.14,0.5518,0.0277,0
86,0.0581,0.184,0.1011,0.0654,0.3095,0.4416,0.1144,0.7751,0.0372,0
87,0.0908,0.222,0.5374,0.0689,0.254,0.3829,0.127,1.0162,0.0455,1
88,0.0909,0.1811,0.1798,0.0655,0.3101,0.3984,0.1156,0.32,0.0408,0
89,0.0769,0.2208,0.2669,0.0829,0.3,0.5645,0.1386,0.7702,0.0452,0
90,0.0862,0.2288,0.1913,0.0702,0.3279,0.3835,0.1476,0.4128,0.0458,0
91,0.0691,0.2063,0.1034,0.0777,0.3244,0.5213,0.1617,0.6825,0.0299,0
92,0.0686,0.2332,0.226,0.0663,0.3681,0.4124,0.1693,0.6256,0.0431,1
93,0.0775,0.2295,0.22,0.0775,0.3204,0.3985,0.182,0.4106,0.0432,1
94,0.059,0.1963,0.194,0.0764,0.3283,0.3241,0.1851,0.7716,0.0382,0
95,0.0789,0.2033,0.1685,0.0733,0.3398,0.399,0.1932,0.5857,0.0351,0
96,0.0737,0.2132,0.1845,0.0829,0.2943,0.4963,0.1055,0.9484,0.0381,1
97,0.0597,0.2305,0.1632,0.0529,0.3152,0.3278,0.1333,0.3955,0.0543,0
98,0.0775,0.2201,0.1717,0.0798,0.3441,0.3851,0.1685,0.47,0.0483,1
99,0.0796,0.2444,0.3241,0.0332,0.3076,0.4339,0.1625,0.6768,0.0396,0
100,0.0789,0.2285,0.1582,0.0839,0.3148,0.4237,0.1763,0.5642,0.0363,0
101,0.0659,0.2112,0.2899,0.0888,0.2672,0.5049,0.1405,0.6898,0.041,0
102,0.0559,0.2208,0.0873,0.0832,0.3002,0.4127,0.0648,0.8064,0.0317,0
103,0.0847,0.2242,0.2252,0.0667,0.2869,0.33,0.1774,0.7782,0.0395,0
104,0.0675,0.192,0.1822,0.0392,0.2962,0.3897,0.0969,0.9222,0.051,0
105,0.0269,0.1518,0.302,0.0605,0.3037,0.3772,0.1412,0.456,0.0465,0
106,0.0491,0.1738,0.1479,0.0584,0.2676,0.6204,0.0778,0.3879,0.0315,0
107,0.0766,0.2308,0.3506,0.0766,0.3641,0.3056,0.1848,0.7221,0.0479,1
108,0.0432,0.2255,0.2716,0.0689,0.3259,0.4463,0.1715,0.4339,0.0408,0
109,0.0728,0.1976,0.2311,0.095,0.3323,0.4494,0.1446,0.7,0.0357,0
110,0.0532,0.2042,0.2239,0.0805,0.315,0.3991,0.1397,0.8316,0.0293,0
111,0.0627,0.1919,0.1513,0.0511,0.35,0.5382,0.1238,0.521,0.0451,0
112,0.069,0.1109,0.3298,0.0262,0.3684,0.4173,0.1212,0.335,0.0506,0
113,0.0858,0.2212,0.249,0.0622,0.3418,0.3893,0.1595,0.3608,0.0392,0
114,0.0533,0.15,0.1969,0.0715,0.336,0.286,0.143,0.4611,0.0473,0
115,0.073,0.197,0.2205,0.0539,0.3052,0.4516,0.1467,0.7171,0.0414,0
116,0.0897,0.2287,0.1676,0.0714,0.3206,0.4564,0.126,0.7733,0.0365,0
117,0.1019,0.2116,0.1363,0.0652,0.2971,0.4684,0.1741,0.7272,0.034,0
118,0.059,0.1651,0.2302,0.0754,0.3568,0.4017,0.1836,0.8012,0.0428,1
119,0.0648,0.1805,0.2903,0.073,0.3263,0.3747,0.1789,0.7594,0.0269,0
120,0.0601,0.2055,0.2327,0.0904,0.2833,0.3714,0.1686,0.7302,0.0269,0
121,0.0748,0.1171,0.2836,0.047,0.4149,0.4721,0.1834,0.7634,0.0371,0
122,0.0667,0.1557,0.3061,0.0817,0.3372,0.4257,0.151,0.7978,0.049,1
123,0.0977,0.2643,0.0847,0.0835,0.3593,0.3532,0.1505,0.5265,0.0464,0
124,0.0916,0.1867,0.158,0.0815,0.3338,0.4258,0.1218,1.1262,0.0453,1
125,0.049,0.2146,0.2828,0.0992,0.3371,0.375,0.155,0.6159,0.035,0
126,0.069,0.2096,0.1542,0.0688,0.2936,0.3968,0.1567,0.666,0.0369,0
127,0.074,0.258,0.1854,0.055,0.3398,0.3547,0.1498,0.7301,0.038,0
128,0.0915,0.2261,0.0679,0.0924,0.319,0.4596,0.1411,0.8057,0.0321,1
129,0.0423,0.2077,0.2121,0.0684,0.3043,0.4885,0.1349,0.6531,0.0373,0
130,0.0449,0.1883,0.1491,0.0849,0.3742,0.5186,0.1123,0.6518,0.0378,0
131,0.0695,0.2032,0.1161,0.055,0.3043,0.5511,0.0939,0.5596,0.0365,0
132,0.0533,0.1949,0.1666,0.0799,0.3167,0.3351,0.1018,0.5957,0.0443,0
133,0.0609,0.2073,0.1134,0.0889,0.3173,0.5318,0.1167,0.4836,0.0437,0
134,0.0599,0.1514,0.2016,0.0772,0.2751,0.4783,0.1802,0.9906,0.0376,1
135,0.0611,0.1918,0.2685,0.0906,0.3122,0.3756,0.1551,0.7379,0.0488,0
136,0.0876,0.2186,0.2175,0.0645,0.2763,0.3561,0.1571,0.6705,0.0295,1
137,0.0782,0.2086,0.2231,0.0585,0.4081,0.5028,0.1614,0.6039,0.0384,0
138,0.0789,0.2131,0.3885,0.1117,0.2817,0.3261,0.1039,0.6466,0.0459,1
139,0.0774,0.2089,0.2765,0.0562,0.3328,0.3971,0.1249,0.7318,0.0502,0
140,0.0565,0.1466,0.1646,0.065,0.2996,0.2724,0.138,0.8782,0.052,0
141,0.0634,0.225,0.4522,0.0581,0.363,0.4355,0.1139,0.8067,0.0369,0
142,0.0729,0.2166,0.1898,0.0767,0.359,0.3847,0.1416,0.5331,0.0363,1
143,0.0904,0.1993,0.217,0.0597,0.3502,0.2885,0.134,0.7306,0.0566,0
144,0.0815,0.2059,0.1566,0.0701,0.3356,0.5556,0.1486,0.7276,0.028,1
145,0.0679,0.2272,0.1447,0.0847,0.2744,0.3608,0.194,0.4029,0.0482,0
146,0.0885,0.1884,0.1773,0.0606,0.3172,0.4194,0.1712,0.6025,0.0293,0
147,0.0728,0.1658,0.304,0.0784,0.2819,0.4757,0.1233,0.834,0.0608,1
148,0.0693,0.1568,0.3579,0.0729,0.3847,0.3987,0.1786,0.7224,0.0425,0
149,0.0398,0.1608,0.1443,0.0841,0.3113,0.4143,0.2077,0.7827,0.0375,0
150,0.0663,0.1957,0.215,0.0655,0.3637,0.3358,0.114,0.6617,0.0253,0
151,0.0686,0.2202,0.2358,0.0661,0.2852,0.3257,0.1347,0.8941,0.0381,0
152,0.0759,0.1993,0.2538,0.0792,0.3186,0.4165,0.2012,0.4827,0.0452,1
153,0.0663,0.1123,0.2584,0.0766,0.3123,0.3273,0.1941,0.8579,0.0419,0
154,0.0733,0.1895,0.3236,0.0635,0.3414,0.4906,0.1254,0.6158,0.0264,0
155,0.0385,0.1314,0.1964,0.0775,0.3054,0.4565,0.1686,0.8153,0.0429,0
156,0.0391,0.2334,0.3214,0.0699,0.3484,0.2695,0.0965,0.6374,0.039,0
157,0.0555,0.2043,0.4,0.0703,0.3192,0.432,0.154,0.4195,0.0395,0
158,0.0644,0.2025,0.2645,0.0578,0.3225,0.5672,0.1264,0.557,0.0338,1
159,0.0868,0.2007,0.1505,0.0863,0.3568,0.4413,0.1785,0.7459,0.0498,0
160,0.0589,0.2393,0.2053,0.0635,0.3413,0.4036,0.1896,0.6385,0.0439,1
161,0.0514,0.2094,0.2141,0.0442,0.2306,0.3789,0.022,0.8674,0.0419,1
162,0.0345,0.2079,0.3342,0.0878,0.384,0.4418,0.1381,0.3028,0.0418,0
163,0.0855,0.1917,0.3211,0.0812,0.2937,0.5189,0.0857,0.5806,0.0356,0
164,0.0728,0.1752,0.2264,0.0789,0.2933,0.3734,0.1741,0.568,0.0506,1
165,0.0676,0.2321,0.2716,0.0788,0.3505,0.4654,0.1386,0.6481,0.0492,0
166,0.0604,0.1398,0.2047,0.0681,0.3576,0.4883,0.1588,0.5328,0.0576,0
167,0.0804,0.2018,0.1186,0.072,0.3004,0.4206,0.0717,0.9076,0.0322,0
168,0.0487,0.1741,0.1522,0.0584,0.412,0.3335,0.1527,0.6893,0.0397,1
169,0.0573,0.1629,0.3457,0.0565,0.4153,0.2976,0.1399,0.7674,0.0356,1
170,0.0574,0.1803,0.1268,0.0791,0.4239,0.415,0.1239,0.8371,0.0274,1
171,0.0926,0.1604,0.1961,0.0399,0.4167,0.4278,0.1499,0.958,0.0318,0
172,0.0428,0.1888,0.2233,0.0696,0.3252,0.3067,0.1627,0.826,0.0437,0
173,0.0829,0.2062,0.3522,0.0644,0.3471,0.3995,0.1607,0.7995,0.0395,0
174,0.0586,0.1635,0.1923,0.0654,0.3394,0.4684,0.1975,0.6179,0.0275,0
175,0.0734,0.1768,0.1854,0.0713,0.2784,0.4279,0.1477,0.8568,0.0498,1
176,0.0702,0.2645,0.1598,0.1096,0.2621,0.4127,0.0532,0.7602,0.0497,1
177,0.0704,0.193,0.2099,0.0642,0.321,0.3814,0.154,0.883,0.0399,0
178,0.0706,0.188,0.2661,0.0856,0.4054,0.4623,0.1843,0.4129,0.0361,1
179,0.1081,0.1986,0.2961,0.0578,0.3046,0.3833,0.149,0.479,0.0436,1
180,0.0628,0.2368,0.2619,0.0936,0.3285,0.4708,0.1635,0.6891,0.0266,1
181,0.061,0.2412,0.1354,0.0602,0.3354,0.3636,0.1346,0.6092,0.0413,0
182,0.0779,0.1965,0.2406,0.0679,0.3501,0.4715,0.1534,0.4454,0.0308,0
183,0.0516,0.1191,0.3389,0.0757,0.4075,0.3252,0.1696,0.7322,0.0409,0
184,0.0718,0.2063,0.258,0.0779,0.3213,0.4853,0.1557,0.4915,0.0474,1
185,0.0629,0.2583,0.1378,0.0748,0.3287,0.5634,0.1646,0.7352,0.041,1
186,0.0957,0.1731,0.3879,0.0515,0.445,0.4924,0.129,0.4848,0.042,1
187,0.043,0.2782,0.1967,0.0496,0.4146,0.3301,0.1129,0.7067,0.0416,1
188,0.0915,0.2295,0.2456,0.0704,0.3727,0.3954,0.1425,0.4097,0.0379,0
189,0.0706,0.1916,0.1647,0.0844,0.3679,0.463,0.1257,0.1753,0.0394,1
190,0.0748,0.2154,0.3136,0.075,0.3375,0.4772,0.1219,0.5391,0.0402,0
191,0.0625,0.1876,0.2769,0.0649,0.331,0.3035,0.1426,0.5795,0.0292,1
192,0.0688,0.2147,0.2051,0.0904,0.3214,0.3068,0.1248,0.7969,0.047,1
193,0.0956,0.202,0.1304,0.0582,0.3271,0.4334,0.1414,0.6355,0.0376,0
194,0.066,0.2056,0.1964,0.0717,0.344,0.4306,0.1217,0.5736,0.0397,0
195,0.1036,0.1363,0.4862,0.0916,0.3279,0.3657,0.1798,0.7736,0.042,1
196,0.0961,0.2313,0.0454,0.0658,0.3009,0.3289,0.1179,0.7857,0.0304,0
197,0.0666,0.2055,0.1884,0.0673,0.3634,0.5559,0.0801,0.6693,0.0387,0
198,0.0727,0.1561,0.1626,0.0765,0.3812,0.5918,0.1231,0.5968,0.0315,1
199,0.0795,0.2118,0.1594,0.0664,0.3857,0.3922,0.0962,0.4023,0.0543,0
200,0.0684,0.2057,0.1832,0.0671,0.2978,0.4945,0.1381,0.7071,0.0495,0
